upuq  u-'puq
qéynatam  q@j-na-'tam
etigini  e-tI-gI-'nI
duppi  dup-'pI
kovlirini  kov-LI-rI-'nI
kötürüp  k@'-ty-'ryp
çiqip  tSI-'qIp
ketse  ket-'se
keçkiçe  ketS-kI-'tSe
mozdozluq  moz-doz-'Luq
axşimi  ax-SI-'mI
közi  k@'-'zI
körmigende  k@'r-mI-gen-'de
kélidu  k@-LI-'du
kir'alğudin  kIr-'aL-Gu-'dIn
avaz  a-'vaz
atmiştin  at-mIS-'tIn
seksen  sek-'sen
détsbélğiçe  d@tsb@LGItSe
şamaldurğuçniñ  Sa-maL-dur-GutS--rG-'utSnIN
qiriqtin  qI-rIq-'tIn
ellik  eL-'LIk
télévizordin  t@-L@-vI-zor-'dIn
elliktin  eL-LIk-'tIn
yetmiş  jet-'mIS
çaç  tSatS
qurutquçniñ  qu-rut-qutS-'nIN
atmiş  at-'mIS
beştin  beS-'tIn
beş  beS
ün'alğu  yn-'aL-'Gu
radioniñ  ra-dI-o-'nIN
yetmiştin  jet-mIS-'tIn
toqsen  toq-'sen
détsibélğiçe  d@t-sI-b@L-GI-'tSe
bolidiken  bo-LI-dI-'ken
öyde  @'j-'de
déhqançiliq  d@h-qan-tSI-'LIq
dorilirini  do-rI-LI-rI-'nI
saqlaş  saq-'LaS
çeklinidu  tSek-LI-nI-'du
doriliri  do-rI-LI-'rI
öyni  @'j-'nI
dézinfiksiye  d@-zIn-fIk-sI-'je
qilişqa  qI-LIS-'qa
qurtlarni  qurtLarnI
çivin  tSI-'vIn
yoqitişqa  jo-qI-tIS-'qa
téximu  t@-xI-'mu
bolmaydu  boL-maj-'du
yodmu  jod-'mu
hamiliniñ  ha-mI-LI-'nIN
nérva  n@r-'va
guruppisiniñ  gu-rup-pI-sI-'nIN
yétilişige  j@-tI-LI-SI-'ge
tesir  te-'sIr
körsitip  k@'r-sI-'tIp
méñe  m@-'Ne
éğirliqiniñ  @-GIr-LI-qI-'nIN
yéniklişini  j@-nIk-LI-SI-'nI
tuğulğandin  tu-GuL-Gan-'dIn
kéyinki  k@-jIn-'kI
eqliy  eq-'LIj
qabiliyitiniñ  qa-bI-LI-jI-tI-'nIN
töven  t@'-'ven
boluşini  bo-Lu-SI-'nI
gas  gas
gaça  ga-'tSa
yaki  ja-'kI
gomuş  go-'muS
keltürüp  keL-ty-'ryp
çiqiridu  tSI-qI-rI-'du
reñlik  reN-'LIk
kartoçka  kar-totS-'ka
hamile  ha-mI-'Le
terbiyisi  ter-bI-jI-'sI
bériştin  b@-rIS-'tIn
ilgiri  IL-gI-'rI
muşundaq  mu-Sun-'daq
nepeslinişni  ne-pes-LI-nIS-'nI
barğanda  bar-Gan-'da
diqqitini  dIq-qI-tI-'nI
merkezleştürüşni  mer-kez-LeS-ty-ryS-'nI
küçeytip  ky-tSej-'tIp
tertiplik  ter-tIp-'LIk
bérişqa  b@-rIS-'qa
bolidu  bo-LI-'du
yaponiye  ja-po-nI-'je
aptonomiye  ap-to-no-mI-'je
tébbiy  t@b-'bIj
pen  pen
aliy  a-'LIj
mektipidiki  mek-tI-pI-dI-'kI
tégyofo  t@g-jo-'fo
doktorniñ  dok-tor-'nIN
doklatida  dok-La-tI-'da
körsitilişiçe  k@'r-sI-tI-LI-SI-'tSe
rifampin  rI-fam-'pIn
türidiki  ty-rI-dI-'kI
dorilarni  do-rI-Lar-'nI
hamilidarliq  ha-mI-LI-dar-'LIq
mezgilide  mez-gI-LI-'de
işlitişke  IS-LI-tIS-'ke
bolmaydiken  boL-maj-dI-'ken
biz  bIz
yéñi  j@-'NI
tuğulğanlarniñ  tu-GuL-Gan-Lar-'nIN
nahayiti  na-ha-jI-'tI
rahetlengen  ra-het-Len-'gen
pütün  py-'tyn
bedinini  be-dI-nI-'nI
taşlap  taS-'Lap
kiçik  kI-'tSIk
qollirini  qoL-LI-rI-'nI
küçep  ky-'tSep
égiz  @-'gIz
kötürüvatqanliqini  k@'-ty-ry-vat-qan-LI-qI-'nI
putlirini  put-LI-rI-'nI
tüzlevatqanliqini  tyz-Le-vat-qan-LI-qI-'nI
asta  as-'ta
ritimliq  rI-tIm-'LIq
tépçeklevatqanliqini  t@p-tSek-Le-vat-qan-LI-qI-'nI
körimiz  k@'-rI-'mIz
tuğulğanlar  tu-GuL-Gan-'Lar
daim  da-'Im
iñriğaçqa  IN-rI-GatS-'qa
öpkisidin  @'p-kI-sI-'dIn
añlinidu  aN-LI-nI-'du
psixologlar  psI-xo-Log-'Lar
torusta  to-rus-'ta
héçqandaq  h@tS-qan-'daq
çirağ  tSI-'raG
bolmisimu  boL-mI-sI-'mu
béşini  b@-SI-'nI
kötürgenlikini  k@'-tyr-gen-LI-kI-'nI
hem  hem
çirağniñ  tSI-raG-'nIN
yoqluqini  joq-Lu-qI-'nI
körüp  k@'-'ryp
turupmu  tu-rup-'mu
şubhe  Sub-'he
bolmiğanliqini  boL-mI-Gan-LI-qI-'nI
üstige  ys-tI-'ge
xuşalliq  xu-SaL-'LIq
qayta  qaj-'ta
torusqa  to-rus-'qa
qaravatqanliqini  qa-ra-vat-qan-LI-qI-'nI
bayqiğan  baj-qI-'Gan
şarni  Sar-'nI
püvlep  pyv-'Lep
çoñaytiş  tSo-Naj-'tIS
kérek  k@-'rek
bala  ba-'La
buni  bu-'nI
xuşal  xu-'SaL
kétidu  k@-tI-'du
iñellep  I-NeL-'Lep
yerge  jer-'ge
çüşkendin  tSyS-ken-'dIn
dunya  dun-'ja
toğrisida  toG-rI-sI-'da
izdinişke  Iz-dI-nIS-'ke
başlaydu  baS-Laj-'du
çağda  tSaG-'da
baliniñ  ba-LI-'nIN
tégiş  t@-'gIS
sézimi  s@-zI-'mI
puraş  pu-'raS
tem  tem
tétiş  t@-'tIS
qatarliq  qa-tar-'LIq
cehettiki  dZe-het-tI-'kI
tecribilirini  tedZ-rI-bI-LI-rI-'nI
béyitiş  b@-jI-'tIS
dañliq  daN-'LIq
pédagok  p@-da-'gok
doktorliri  dok-tor-LI-'rI
balilarniñ  ba-LI-Lar-'nIN
eqil  e-'qIL
parasti  pa-ras-'tI
qol  qoL
barmiqi  bar-mI-'qI
üstide  ys-tI-'de
qaraydiken  qa-raj-dI-'ken
teşviş  teS-'vIS
xuddi  xud-'dI
gérman  g@r-'man
peylasopi  pej-La-so-'pI
martin  mar-'tIn
haydéggir  haj-d@g-'gIr
öziniñ  @'-zI-'nIN
meşhur  meS-'hur
pelsepe  peL-se-'pe
esiri  e-sI-'rI
mevcutluq  mev-dZut-'Luq
vaqitta  va-qIt-'ta
ötkinidek  @'t-kI-nI-'dek
hazirqi  ha-zIr-'qI
kelgüsi  keL-gy-'sI
qelb  qeLb
otturisidiki  ot-tu-rI-sI-dI-'kI
ziddiyettur  zId-dI-jet-'tur
mevcudatniñ  mev-dZu-dat-'nIN
dunyada  dun-ja-'da
boluşiniñ  bo-Lu-SI-'nIN
eñ  eN
mahiyetlik  ma-hI-jet-'LIk
halitidur  ha-LI-tI-'dur
seidniñ  se-Id-'nIN
siyasiy  sI-ja-'sIj
avazi  a-va-'zI
kespiy  kes-'pIj
orni  or-'nI
pelesitinlik  pe-Le-sI-tIn-'LIk
xristiyan  xrIs-tI-'jan
ereb  e-'reb
boluştek  bo-LuS-'tek
diniy  dI-'nIj
kimliki  kIm-LI-'kI
ğerbniñ  GerbnIN
islam  Is-'Lam
dinini  dI-nI-'nI
xunukleştürüşke  xu-nuk-LeS-ty-ryS-'ke
qarşi  qar-'SI
turuştiki  tu-ruS-tI-'kI
égilmes  @-gIL-'mes
sunmas  sun-'mas
qarşiliq  qar-SI-'LIq
rohiğa  ro-hI-'Ga
siñgen  sIN-'gen
ziddiyetlerdur  zId-dI-jet-Ler-'dur
melum  me-'Lum
menidin  me-nI-'dIn
alğanda  aL-Gan-'da
her  her
qandaq  qan-'daq
cem'iyet  dZem-'I-'jet
özini  @'-zI-'nI
biliş  bI-'LIS
sistémisini  sIs-t@-mI-sI-'nI
özige  @'-zI-'ge
xas  xas
usulda  u-suL-'da
şerhleşke  SerhLeSke
vaqit  va-'qIt
muhtac  muh-'tadZ
dinniñ  dIn-'nIN
şerhlinişi  Serh-LI-nI-'SI
intayin  In-ta-'jIn
ortodoksal  or-to-dok-'saL
métodni  m@-tod-'nI
telep  te-'Lep
qilğaçqa  qIL-GatS-'qa
xizmetkarliri  xIz-met-kar-LI-'rI
bolupmu  bo-Lup-'mu
nopuzluq  no-puz-'Luq
petivaçiliri  pe-tI-va-tSI-LI-'rI
éhtiyat  @h-tI-'jat
tallinidu  taL-LI-nI-'du
yuqiri  ju-qI-'rI
imtiyaz  Im-tI-'jaz
teminlinidu  te-mIn-LI-nI-'du
şuni  Su-'nI
qisqiçila  qIs-qI-tSI-'La
éytip  @j-'tIp
ötmekçimizki  @'t-mek-tSI-mIz-'kI
hoquq  ho-'quq
muhim  mu-'hIm
ictimaiy  IdZ-tI-ma-'Ij
munasivet  mu-na-sI-'vet
qanuniy  qa-nu-'nIj
katégoriyisi  ka-t@-go-rI-jI-'sI
cem'iyetniñ  dZem-'I-jet-'nIN
byurokratliq  bju-rok-rat-'LIq
tüzülmisini  ty-zyL-mI-sI-'nI
berpa  ber-'pa
qiliştiki  qI-LIS-tI-'kI
qurulmisini  qu-ruL-mI-sI-'nI
ornitiştiki  or-nI-tIS-tI-'kI
iqtisadiy  Iq-tI-sa-'dIj
ilmiy  IL-'mIj
bayliqlarniñ  baj-LIq-Lar-'nIN
teqsimlinişi  teq-sIm-LI-nI-'SI
özgirişini  @'z-gI-rI-SI-'nI
emelge  e-meL-'ge
aşuruştiki  a-Su-ruS-tI-'kI
nişanniñ  nI-San-'nIN
işqa  IS-'qa
aşuruluşini  a-Su-ru-Lu-SI-'nI
sürüştiki  sy-ryS-tI-'kI
vasitidur  va-sI-tI-'dur
vallon  vaL-'Lon
rayonidiki  ra-jo-nI-dI-'kI
mektepler  mek-tep-'Ler
léj  L@Z
univérsitéti  u-nI-v@r-sI-t@-'tI
lévén  L@-'v@n
flandér  fLan-'d@r
rayonidikiler  ra-jo-nI-dI-kI-'Ler
xént  x@nt
qatarliqlardur  qa-tar-LIq-Lar-'dur
ğerb  Gerb
mektepliri  mek-tep-LI-'rI
şvétsariyilik  Sv@t-sa-rI-jI-'LIk
maarip  ma-a-'rIp
islahatçisi  Is-La-hat-tSI-'sI
con  dZon
hénri  h@n-'rI
péstalozziniñ  p@s-ta-Loz-zI-'nIN
emeliy  e-me-'LIj
paaliyetliri  pa-a-LI-jet-LI-'rI
nezeriyiliridin  ne-ze-rI-jI-LI-rI-'dIn
ozuq  o-'zuq
aldi  aL-'dI
taylor  taj-'Lor
fréyzér  fr@j-'z@r
barliq  bar-'LIq
sezgülerniñ  sez-gy-Ler-'nIN
hemmisi  hem-mI-'sI
oxşaş  ox-'SaS
şairniñ  Sa-Ir-'nIN
tereddutlinivatqini  te-red-dut-LI-nI-vat-qI-'nI
sirtiğa  sIr-tI-'Ga
caylaşqan  dZaj-LaS-'qan
eplatonçe  ep-La-ton-'tSe
ğayivi  Ga-jI-'vI
esli  es-'LI
makanğa  ma-kan-'Ga
qaytişni  qaj-tIS-'nI
izdeş  Iz-'deS
emes  e-'mes
belki  beL-'kI
başqa  baS-'qa
izdeşlerniñ  Iz-deS-Ler-'nIN
bihudiliqi  bI-hu-dI-LI-'qI
ayan  a-'jan
bolğandin  boL-Gan-'dIn
axirqi  a-xIr-'qI
ecellik  e-dZeL-'LIk
qelbiniñ  qeL-bI-'nIN
tirenliride  tI-ren-LI-rI-'de
hayatimniñ  ha-ja-tIm-'nIN
qupquruqluqi  qup-qu-ruq-Lu-'qI
kelgen  keL-'gen
keypi  kej-'pI
boşluq  boS-'Luq
içide  I-tSI-'de
birmiñ  bIr-'mIN
toqquzyuz  toq-quz-'juz
toqsan  toq-'san
ikkinçi  Ik-kIn-'tSI
yilliriniñ  jIL-LI-rI-'nIN
küz  kyz
aylirida  aj-LI-rI-'da
qeşqer  qeS-'qer
vilayiti  vI-La-jI-'tI
yopurğa  jo-pur-'Ga
nahiyilik  na-hI-jI-'LIk
birinçi  bI-rIn-'tSI
ottura  ot-tu-'ra
mektepte  mek-tep-'te
savaqdaşlirim  sa-vaq-daS-LI-'rIm
oquş  o-'quS
tekşürüşke  tek-Sy-ryS-'ke
éğiz  @-'GIz
edebiyati  e-de-bI-ja-'tI
tekşürüş  tek-Sy-'ryS
praktikisiğa  prak-tI-kI-sI-'Ga
çüştuq  tSyS-'tuq
bundaq  bun-'daq
ğelite  Ge-LI-'te
oxşaşliq  ox-SaS-'LIq
méni  m@-'nI
rastinla  ras-tIn-'La
çöçütti  tS@'-tSyt-'tI
kitabliridin  kI-tab-LI-rI-'dIn
ürküp  yr-'kyp
qollirim  qoL-LI-'rIm
varaqlirini  va-raq-LI-rI-'nI
éçişqa  @-tSIS-'qa
sézimini  s@-zI-mI-'nI
yoqitay  jo-qI-'taj
közlirim  k@'z-LI-'rIm
qurlar  qur-'Lar
heriketlinişke  he-rI-ket-LI-nIS-'ke
başlidi  baS-LI-'dI
xotun  xo-'tun
önderep  @'n-de-'rep
noqudi  no-qu-'dI
közümni  k@'-zym-'nI
açsam  atS-'sam
saraydin  sa-raj-'dIn
biri  bI-'rI
étilip  @-tI-'LIp
béşimğa  b@-SIm-'Ga
çomiqini  tSo-mI-qI-'nI
teñlep  teN-'Lep
turup  tu-'rup
midirlisañ  mI-dIr-LI-'saN
xémir  x@-'mIr
qilivétimen  qI-LI-v@-tI-'men
tovlidi  tov-LI-'dI
mehelliniñ  me-heL-LI-'nIN
çoñ  tSoN
béyi  b@-'jI
tekebburluq  te-keb-bur-'Luq
qisqa  qIs-'qa
qara  qa-'ra
saqilini  sa-qI-LI-'nI
oçumlap  o-tSum-'Lap
qotan  qo-'tan
éğilliriniñ  @-GIL-LI-rI-'nIN
arqisidiki  ar-qI-sI-dI-'kI
qiğ  qIG
ögze  @'g-'ze
teñleşken  teN-LeS-'ken
katta  kat-'ta
qoruniñ  qo-ru-'nIN
igisi  I-gI-'sI
muxterbay  mux-ter-'baj
mehelle  me-heL-'Le
imamini  I-ma-mI-'nI
silkişleşke  sIL-kIS-LeS-'ke
adetlengenidi  a-det-Len-ge-nI-'dI
pah  pah
süt  syt
dédi  d@-'dI
ximiçiski  xI-mI-tSIs-'kI
qeğezni  qe-Gez-'nI
aliqiniğa  a-LI-qI-nI-'Ga
qoyup  qo-'jup
miñbéginiñ  mIN-b@-gI-'nIN
qoru  qo-'ru
cayi  dZa-'jI
dervaziliq  der-va-zI-'LIq
öyliri  @'j-LI-'rI
tüñlüñlük  tyN-LyN-'Lyk
hoyla  hoj-'La
içi  I-'tSI
tal  taL
barañliq  ba-raN-'LIq
pakar  pa-'kar
kök  k@'k
sériq  s@-'rIq
burut  bu-'rut
doğilaq  do-GI-'Laq
adem  a-'dem
miñbégige  mIN-b@-gI-'ge
çuñuldidi  tSu-NuL-dI-'dI
béği  b@-'GI
ecebmu  e-dZeb-'mu
köñüllük  k@'-NyL-'Lyk
qélin  q@-'LIn
qariyağaçliqlar  qa-rI-ja-GatS-LIq-'Lar
quçaq  qu-'tSaq
yetküsiz  jet-ky-'sIz
térekler  t@-rek-'Ler
şaxliridiki  Sax-LI-rI-dI-'kI
qağilarniñ  qa-GI-Lar-'nIN
toliliqi  to-LI-LI-'qI
sopisopiyañlarniñ  so-pI-so-pI-jaN-Lar-'nIN
aşiqini  a-SI-qI-'nI
çillap  tSIL-'Lap
çarçiğan  tSar-tSI-'Gan
zeynep  zej-'nep
kakkuklarniñ  kak-kuk-Lar-'nIN
guguklarniñ  gu-guk-Lar-'nIN
yéqimliq  j@-qIm-'LIq
avazliri  a-vaz-LI-'rI
yügürüşüp  jy-gy-ry-'Syp
yürgen  jyr-'gen
yava  ja-'va
toşqanlarçu  toS-qan-Lar-'tSu
téxi  t@-'xI
bağ  baG
rivayetlerdiki  rI-va-jet-Ler-dI-'kI
sirliq  sIr-'LIq
ormanliqqa  or-man-LIq-'qa
oxşaydu  ox-Saj-'du
bextlik  bextLIk
er  er
pakiz  pa-'kIz
ügütni  y-gyt-'nI
obdan  ob-'dan
nemdep  nem-'dep
özliri  @'z-LI-'rI
toquvalğan  to-qu-vaL-'Gan
qil  qIL
tağarni  ta-Gar-'nI
qollap  qoL-'Lap
süpürülgen  sy-py-ryL-'gen
keñ  keN
hoyliniñ  hoj-LI-'nIN
supisidiki  su-pI-sI-dI-'kI
tüvrükke  tyv-ryk-'ke
yölep  j@'-'Lep
özüñ  @'-'zyN
cöndimiseñ  dZ@'n-dI-mI-'seN
tügiduq  ty-gI-'duq
vuy  vuj
muxter  mux-'ter
bay  baj
qapqara  qap-qa-'ra
saqalliri  sa-qaL-LI-'rI
arisidin  a-rI-sI-'dIn
sedeptek  se-dep-'tek
çişlirini  tSIS-LI-rI-'nI
azab  a-'zab
hiciyip  hI-dZI-'jIp
şikayet  SI-ka-'jet
ziyavudunniñ  zI-ja-vu-dun-'nIN
étini  @-tI-'nI
öz  @'z
qoli  qo-'LI
éğiliñniñ  @-GI-LIN-'nIN
arqisiğa  ar-qI-sI-'Ga
ötkine  @'t-kI-'ne
kélinliriñni  k@-LIn-LI-rIN-'nI
marap  ma-'rap
kursukqa  kur-suk-'qa
çüşken  tSyS-'ken
ittek  It-'tek
neççisi  netS-tSI-'sI
yatidu  ja-tI-'du
némançe  n@-man-'tSe
reyhan  rej-'han
ay  aj
yoruqida  jo-ru-qI-'da
érige  @-rI-'ge
domsarap  dom-sa-'rap
loqman  Loq-'man
hékim  h@-'kIm
yéşida  j@-SI-'da
yigirme  jI-gIr-'me
yaşliq  jaS-'LIq
bimariğa  bI-ma-rI-'Ga
aşiq  a-'SIq
özniñ  @'z-'nIN
yéşidin  j@-SI-'dIn
yaşni  jaS-'nI
qizğa  qIz-'Ga
teqdim  teq-'dIm
qilğan  qIL-'Gan
ziyavudun  zI-ja-vu-'dun
orma  or-'ma
naxşisi  nax-SI-'sI
éytmaqta  @jtmaqta
reyhangülniñ  rej-han-gyL--'gyLnIN
yüriki  jy-rI-'kI
ciğ  dZIG
axşam  ax-'Sam
lozuñ  Lo-'zuN
şeñgen  SeN-'gen
yamulğa  ja-muL-'Ga
çiqqanidi  tSIq-qa-nI-'dI
çüşüp  tSy-'Syp
neççe  netS-'tSe
domilap  do-mI-'Lap
yögimeçlikte  j@'-gI-metS-LIk-'te
toxtidi  tox-tI-'dI
yotqan  jot-'qan
körpe  k@'r-'pe
tozğaq  toz-'Gaq
saman  sa-'man
tiqilğan  tI-qIL-'Gan
quraq  qu-'raq
lestik  Les-'tIk
yastuqlarni  jas-tuq-Lar-'nI
teyyarlap  tej-jar-'Lap
molla  moL-'La
şevket  Sev-'ket
axunumdin  a-xu-num-'dIn
pecmurde  pedZ-mur-'de
bolğan  boL-'Gan
qur'anni  qur-'an-'nI
qiliş  qI-'LIS
lazim  La-'zIm
soriğan  so-rI-'Gan
toqilek  to-qI-'Lek
şañyo  SaN-'jo
bizniñ  bIz-'nIN
osman  os-'man
hacimken  ha-dZIm-'ken
kövrükniñ  k@'v-ryk-'nIN
qétidiki  q@-tI-dI-'kI
döñge  d@'N-'ge
étiniñ  @-tI-'nIN
töşbéğini  t@'S-b@-GI-'nI
çiñitti  tSI-NIt-'tI
abduveli  ab-du-ve-'LI
zékriniñ  z@k-rI-'nIN
muñluq  muN-'Luq
éytqinini  @jt-qI-nI-'nI
miñ  mIN
qétimlap  q@-tIm-'Lap
añliğan  aN-LI-'Gan
emma  em-'ma
mit  mIt
qoymiğanidim  qoj-mI-Ga-nI-'dIm
xeverni  xe-ver-'nI
şeherdin  Se-her-'dIn
kötek  k@'-'tek
harvisiğa  har-vI-sI-'Ga
qétilğan  q@-tIL-'Gan
çabdar  tSab-'dar
baytalni  baj-taL-'nI
ökireñ  @'-kI-'reN
taşlitip  taS-LI-'tIp
qéçip  q@-'tSIp
zulya  zuL-'ja
kaska  kas-'ka
isimlik  I-sIm-'LIk
öymu  @'j-'mu
öy  @'j
ademge  a-dem-'ge
yetküzdi  jet-kyz-'dI
kéçisi  k@-tSI-'sI
şağliqtam  SaG-LIq-'tam
mehellisige  me-heL-LI-sI-'ge
bayniñ  baj-'nIN
kélinini  k@-LI-nI-'nI
ovlaş  ov-'LaS
çüşti  tSyS-'tI
qarigirniñ  qa-rI-gIr-'nIN
oruq  o-'ruq
dümbisi  dym-bI-'sI
yéğir  j@-'GIr
yayli  jaj-'LI
şalañ  Sa-'LaN
quyruqi  quj-ru-'qI
qiñğir  qIN-'GIr
tuyaqliri  tu-jaq-LI-'rI
upriğan  up-rI-'Gan
möñkügek  m@'N-ky-'gek
qirçañğuğa  qIr-tSaN-Gu-'Ga
aylanğinini  aj-Lan-GI-nI-'nI
turdi  tur-'dI
séni  s@-'nI
qilmaqçi  qIL-maq-'tSI
